id,match_id,city,match_date,season,match_number,team1,team2,toss_winner,toss_decision,superover,result,winning_team,won_by,margin,winner_runs,winner_wickets,player_of_match,venue,umpire1,umpire2
1,1175356,Chennai,23-03-2019,2019,1,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,7,0,7,Harbhajan Singh,MA Chidambaram Stadium,AY Dandekar,BNJ Oxenford
2,1175357,Kolkata,24-03-2019,2019,2,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Kolkata Knight Riders,Wickets,6,0,6,AD Russell,Eden Gardens,AK Chaudhary,CB Gaffaney
3,1175358,Mumbai,24-03-2019,2019,3,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,N,normal,Delhi Capitals,Runs,37,37,0,RR Pant,Wankhede Stadium,S Ravi,YC Barde
4,1175359,Jaipur,25-03-2019,2019,4,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,N,normal,Kings XI Punjab,Runs,14,14,0,CH Gayle,Sawai Mansingh Stadium,C Shamshuddin,KN Ananthapadmanabhan
5,1175360,Delhi,26-03-2019,2019,5,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,N,normal,Chennai Super Kings,Wickets,6,0,6,SR Watson,Arun Jaitley Stadium,M Erasmus,Nitin Menon
6,1175361,Kolkata,27-03-2019,2019,6,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,N,normal,Kolkata Knight Riders,Runs,28,28,0,AD Russell,Eden Gardens,AK Chaudhary,VA Kulkarni
7,1175362,Bengaluru,28-03-2019,2019,7,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Mumbai Indians,Runs,6,6,0,JJ Bumrah,M.Chinnaswamy Stadium,CK Nandan,S Ravi
8,1175363,Hyderabad,29-03-2019,2019,8,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,N,normal,Sunrisers Hyderabad,Wickets,5,0,5,Rashid Khan,Rajiv Gandhi International Stadium,BNJ Oxenford,C Shamshuddin
9,1175365,Chandigarh,30-03-2019,2019,9,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,N,normal,Kings XI Punjab,Wickets,8,0,8,MA Agarwal,Punjab Cricket Association IS Bindra Stadium,CB Gaffaney,VA Kulkarni
10,1175364,Delhi,30-03-2019,2019,10,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Y,tie,Delhi Capitals,SuperOver,NA,0,0,PP Shaw,Arun Jaitley Stadium,AY Dandekar,Nitin Menon
11,1175366,Hyderabad,31-03-2019,2019,11,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Sunrisers Hyderabad,Runs,118,118,0,JM Bairstow,Rajiv Gandhi International Stadium,KN Ananthapadmanabhan,S Ravi
12,1175367,Chennai,31-03-2019,2019,12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,N,normal,Chennai Super Kings,Runs,8,8,0,MS Dhoni,MA Chidambaram Stadium,CK Nandan,YC Barde
13,1175368,Chandigarh,01-04-2019,2019,13,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,N,normal,Kings XI Punjab,Runs,14,14,0,SM Curran,Punjab Cricket Association IS Bindra Stadium,AK Chaudhary,CB Gaffaney
14,1175369,Jaipur,02-04-2019,2019,14,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,7,0,7,S Gopal,Sawai Mansingh Stadium,AY Dandekar,M Erasmus
15,1175370,Mumbai,03-04-2019,2019,15,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,N,normal,Mumbai Indians,Runs,37,37,0,HH Pandya,Wankhede Stadium,BNJ Oxenford,RJ Tucker
16,1175371,Delhi,04-04-2019,2019,16,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Sunrisers Hyderabad,Wickets,5,0,5,JM Bairstow,Arun Jaitley Stadium,C Shamshuddin,KN Ananthapadmanabhan
17,1175372,Bengaluru,05-04-2019,2019,17,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Kolkata Knight Riders,Wickets,5,0,5,AD Russell,M.Chinnaswamy Stadium,AK Chaudhary,CB Gaffaney
18,1178393,Chennai,06-04-2019,2019,18,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,N,normal,Chennai Super Kings,Runs,22,22,0,Harbhajan Singh,MA Chidambaram Stadium,KN Ananthapadmanabhan,RJ Tucker
19,1178394,Hyderabad,06-04-2019,2019,19,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Mumbai Indians,Runs,40,40,0,AS Joseph,Rajiv Gandhi International Stadium,AY Dandekar,Nitin Menon
20,1178395,Bengaluru,07-04-2019,2019,20,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,N,normal,Delhi Capitals,Wickets,4,0,4,K Rabada,M.Chinnaswamy Stadium,S Ravi,YC Barde
21,1178396,Jaipur,07-04-2019,2019,21,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Kolkata Knight Riders,Wickets,8,0,8,HF Gurney,Sawai Mansingh Stadium,AK Chaudhary,CB Gaffaney
22,1178397,Chandigarh,08-04-2019,2019,22,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,N,normal,Kings XI Punjab,Wickets,6,0,6,KL Rahul,Punjab Cricket Association IS Bindra Stadium,AY Dandekar,M Erasmus
23,1178398,Chennai,09-04-2019,2019,23,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,7,0,7,DL Chahar,MA Chidambaram Stadium,C Shamshuddin,RJ Tucker
24,1178399,Mumbai,10-04-2019,2019,24,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,3,0,3,KA Pollard,Wankhede Stadium,S Ravi,YC Barde
25,1178400,Jaipur,11-04-2019,2019,25,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,4,0,4,MS Dhoni,Sawai Mansingh Stadium,BNJ Oxenford,UV Gandhe
26,1178401,Kolkata,12-04-2019,2019,26,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,N,normal,Delhi Capitals,Wickets,7,0,7,S Dhawan,Eden Gardens,CK Nandan,YC Barde
27,1178402,Mumbai,13-04-2019,2019,27,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,4,0,4,JC Buttler,Wankhede Stadium,A Nand Kishore,Nitin Menon
